choicerandseed,const_alg,cost,exp_type,failrandseed,fprob,npublishers,nsubscribers,ntrees,oracle,overlap,randseed,reach,run,select_policy,topo,treatment
667984480798907347,red-blue,592.2,networkx,8853665121027057643,0.1,200,400,4,0.0,7962,-1426273912677557294,0.0,11,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,592.85,networkx,8853665121027057643,0.1,200,400,4,0.7525,7967,-1426273912677557294,0.2225,12,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,586.35,networkx,8853665121027057643,0.1,200,400,4,0.8025,7931,-1426273912677557294,0.3475,13,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,592.0,networkx,8853665121027057643,0.1,200,400,4,0.7925,7998,-1426273912677557294,0.3575,14,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,587.7,networkx,8853665121027057643,0.1,200,400,4,0.8075,7900,-1426273912677557294,0.659375,15,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,588.9,networkx,8853665121027057643,0.1,200,400,4,0.78,7974,-1426273912677557294,0.59875,16,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,598.3,networkx,8853665121027057643,0.1,200,400,4,0.79,8042,-1426273912677557294,0.656875,17,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,584.8,networkx,8853665121027057643,0.1,200,400,4,0.7125,7912,-1426273912677557294,0.285625,18,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,582.55,networkx,8853665121027057643,0.1,200,400,4,0.785,7921,-1426273912677557294,0.258125,19,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,592.5,networkx,8853665121027057643,0.1,200,400,4,0.775,7940,-1426273912677557294,0.6875,20,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,592.5,networkx,8853665121027057643,0.1,200,400,4,0.795,7994,-1426273912677557294,0.619375,21,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,586.75,networkx,8853665121027057643,0.1,200,400,4,0.8075,7893,-1426273912677557294,0.39,22,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,588.0,networkx,8853665121027057643,0.1,200,400,4,0.8075,7910,-1426273912677557294,0.70875,23,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,581.6,networkx,8853665121027057643,0.1,200,400,4,0.0,7898,-1426273912677557294,0.0,24,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
